0.918945,0.949219,0.959961,0.944336,0.941406
0.9375,0.954102,0.962891,0.952148,0.946289
0.935547,0.958008,0.964844,0.954102,0.947266
0.9375,0.952148,0.962891,0.953125,0.946289
0.933594,0.957031,0.963867,0.954102,0.950195
0.93457,0.954102,0.955078,0.949219,0.945312
0.942383,0.955078,0.962891,0.957031,0.952148
0.939453,0.956055,0.958008,0.956055,0.950195
0.953125,0.955078,0.967773,0.957031,0.955078
0.942383,0.957031,0.963867,0.957031,0.951172
0.948242,0.958008,0.959961,0.958984,0.949219
0.950195,0.960938,0.961914,0.960938,0.950195
0.949219,0.958008,0.962891,0.962891,0.955078
0.943359,0.961914,0.960938,0.963867,0.956055
0.948242,0.961914,0.966797,0.963867,0.959961
0.948242,0.961914,0.967773,0.963867,0.960938
0.949219,0.962891,0.972656,0.963867,0.962891
0.948242,0.964844,0.977539,0.963867,0.96582
0.948242,0.963867,0.974609,0.962891,0.96875
0.952148,0.958984,0.978516,0.96875,0.97168
0.952148,0.958008,0.975586,0.97168,0.97168
0.954102,0.958008,0.980469,0.967773,0.972656
0.978516,0.97168,0.981445,0.973633,0.979492
0.978516,0.97168,0.976562,0.96875,0.978516
0.978516,0.976562,0.980469,0.974609,0.980469
0.982422,0.976562,0.981445,0.978516,0.980469
0.980469,0.982422,0.985352,0.970703,0.980469
0.980469,0.977539,0.985352,0.97168,0.979492
0.980469,0.977539,0.983398,0.975586,0.979492
0.980469,0.978516,0.984375,0.972656,0.980469
0.990234,0.982422,0.985352,0.977539,0.980469
0.996094,0.986328,0.991211,0.977539,0.980469
0.996094,0.987305,0.991211,0.978516,0.981445
0.990234,0.995117,0.990234,0.978516,0.982422
0.992188,0.998047,0.991211,0.979492,0.983398
0.992188,0.999023,0.994141,0.981445,0.983398
0.996094,0.996094,0.996094,0.980469,0.986328
0.995117,0.984375,0.99707,0.982422,0.985352
0.993164,0.982422,0.995117,0.987305,0.987305
0.989258,0.977539,0.992188,0.987305,0.985352
0.989258,0.977539,0.992188,0.991211,0.985352
0.992188,0.976562,0.990234,0.986328,0.985352
0.992188,0.97168,0.991211,0.982422,0.983398
0.989258,0.970703,0.991211,0.974609,0.982422
0.996094,0.980469,0.986328,0.983398,0.981445
0.996094,0.980469,0.984375,0.983398,0.981445
0.970703,0.966797,0.984375,0.984375,0.980469
0.970703,0.964844,0.972656,0.970703,0.973633
0.96582,0.963867,0.974609,0.979492,0.975586
0.964844,0.962891,0.978516,0.977539,0.977539
0.960938,0.960938,0.977539,0.976562,0.975586
0.961914,0.957031,0.975586,0.970703,0.974609
0.931641,0.948242,0.973633,0.970703,0.974609
0.928711,0.948242,0.973633,0.970703,0.97168
0.951172,0.956055,0.979492,0.969727,0.969727
0.951172,0.946289,0.979492,0.970703,0.970703
0.941406,0.931641,0.982422,0.957031,0.961914
0.947266,0.927734,0.979492,0.956055,0.960938
0.75,0.75,0.75,0.750977,0.75
0.777344,0.755859,0.750977,0.773438,0.763672
0.785156,0.803711,0.779297,0.78125,0.779297
0.799805,0.80957,0.785156,0.799805,0.795898
0.822266,0.817383,0.802734,0.802734,0.804688
0.829102,0.820312,0.806641,0.806641,0.814453
0.845703,0.844727,0.818359,0.819336,0.831055
0.854492,0.854492,0.833984,0.825195,0.839844
0.854492,0.844727,0.839844,0.845703,0.851562
0.849609,0.855469,0.845703,0.857422,0.851562
0.842773,0.855469,0.844727,0.84668,0.853516
0.852539,0.854492,0.848633,0.861328,0.853516
0.842773,0.844727,0.856445,0.852539,0.842773
0.835938,0.84375,0.854492,0.844727,0.833008
0.836914,0.826172,0.863281,0.850586,0.844727
0.832031,0.830078,0.834961,0.842773,0.842773
0.833984,0.833008,0.833984,0.84668,0.837891
0.835938,0.84375,0.827148,0.835938,0.836914
0.855469,0.845703,0.84082,0.844727,0.84375
0.851562,0.84668,0.845703,0.84668,0.841797
0.852539,0.841797,0.837891,0.841797,0.84082
0.865234,0.849609,0.850586,0.847656,0.845703
0.856445,0.839844,0.848633,0.841797,0.837891
0.848633,0.837891,0.84375,0.834961,0.835938
0.848633,0.842773,0.84082,0.833984,0.833008
0.858398,0.84668,0.842773,0.835938,0.835938
0.858398,0.848633,0.847656,0.836914,0.84082
0.857422,0.850586,0.852539,0.84668,0.84668
0.863281,0.853516,0.852539,0.847656,0.845703
0.861328,0.858398,0.854492,0.849609,0.84082
0.860352,0.850586,0.851562,0.845703,0.84082
0.867188,0.856445,0.850586,0.841797,0.842773
0.864258,0.856445,0.847656,0.837891,0.84082
0.861328,0.853516,0.84668,0.836914,0.837891
0.84668,0.859375,0.847656,0.839844,0.837891
0.838867,0.853516,0.850586,0.838867,0.84375
0.833984,0.833984,0.848633,0.838867,0.842773
0.81543,0.844727,0.857422,0.847656,0.851562
0.816406,0.852539,0.863281,0.849609,0.856445
0.827148,0.852539,0.868164,0.854492,0.862305
0.855469,0.856445,0.875,0.868164,0.871094
0.860352,0.854492,0.871094,0.875977,0.883789
0.867188,0.863281,0.874023,0.881836,0.891602
0.859375,0.857422,0.867188,0.876953,0.894531
0.860352,0.852539,0.865234,0.881836,0.886719
0.857422,0.853516,0.866211,0.890625,0.889648
0.888672,0.856445,0.865234,0.896484,0.892578
0.884766,0.855469,0.871094,0.897461,0.893555
0.890625,0.876953,0.87793,0.90625,0.891602
0.890625,0.882812,0.886719,0.907227,0.892578
0.884766,0.87207,0.884766,0.902344,0.890625
0.887695,0.883789,0.886719,0.902344,0.897461
0.901367,0.887695,0.887695,0.907227,0.896484
0.90625,0.882812,0.887695,0.90918,0.896484
0.912109,0.90625,0.891602,0.90625,0.897461
0.905273,0.892578,0.898438,0.90332,0.895508
0.887695,0.895508,0.897461,0.90332,0.895508
0.893555,0.886719,0.896484,0.90332,0.892578
0.860352,0.869141,0.885742,0.881836,0.892578
0.892578,0.876953,0.886719,0.878906,0.891602
0.655273,0.642578,0.646484,0.648438,0.642578
0.655273,0.647461,0.652344,0.65332,0.645508
0.657227,0.652344,0.652344,0.663086,0.647461
0.658203,0.652344,0.65625,0.663086,0.647461
0.65625,0.660156,0.657227,0.666016,0.648438
0.657227,0.661133,0.658203,0.666016,0.651367
0.662109,0.671875,0.661133,0.483398,0.652344
0.662109,0.675781,0.661133,0.668945,0.652344
0.663086,0.675781,0.661133,0.669922,0.652344
0.662109,0.679688,0.664062,0.671875,0.655273
0.662109,0.732422,0.663086,0.672852,0.655273
0.662109,0.736328,0.473633,0.675781,0.654297
0.661133,0.733398,0.677734,0.674805,0.658203
0.683594,0.737305,0.681641,0.677734,0.65918
0.688477,0.737305,0.6875,0.681641,0.661133
0.693359,0.742188,0.769531,0.682617,0.660156
0.689453,0.741211,0.74707,0.694336,0.667969
0.681641,0.74707,0.757812,0.694336,0.667969
0.84668,0.753906,0.811523,0.695312,0.670898
0.849609,0.766602,0.793945,0.700195,0.555664
0.821289,0.771484,0.791016,0.698242,0.680664
0.831055,0.775391,0.802734,0.709961,0.699219
0.825195,0.77832,0.839844,0.71582,0.704102
0.975586,0.788086,0.808594,0.748047,0.723633
0.958984,0.871094,0.832031,0.78418,0.745117
0.943359,0.887695,0.854492,0.764648,0.750977
0.950195,0.943359,0.857422,0.821289,0.78125
0.966797,0.946289,0.84082,0.856445,0.772461
0.867188,0.878906,0.835938,0.823242,0.798828
0.78125,0.883789,0.821289,0.811523,0.820312
0.791992,0.882812,0.8125,0.813477,0.801758
0.80957,0.878906,0.801758,0.791992,0.767578
0.806641,0.885742,0.811523,0.769531,0.783203
0.808594,0.817383,0.791992,0.764648,0.801758
0.798828,0.750977,0.772461,0.754883,0.791992
0.798828,0.738281,0.766602,0.750977,0.78418
0.801758,0.722656,0.77832,0.716797,0.775391
0.795898,0.708008,0.769531,0.726562,0.766602
0.734375,0.688477,0.767578,0.716797,0.75
0.762695,0.69043,0.764648,0.738281,0.77832
0.769531,0.743164,0.780273,0.675781,0.791992
0.760742,0.741211,0.794922,0.790039,0.8125
0.769531,0.751953,0.791992,0.786133,0.807617
0.768555,0.746094,0.789062,0.786133,0.818359
0.754883,0.758789,0.783203,0.804688,0.823242
0.793945,0.787109,0.801758,0.792969,0.822266
0.798828,0.795898,0.803711,0.804688,0.816406
0.802734,0.799805,0.806641,0.808594,0.816406
0.802734,0.804688,0.804688,0.813477,0.819336
0.805664,0.814453,0.798828,0.811523,0.806641
0.802734,0.834961,0.806641,0.824219,0.808594
0.799805,0.847656,0.810547,0.825195,0.8125
0.770508,0.839844,0.806641,0.829102,0.816406
0.774414,0.867188,0.806641,0.832031,0.805664
0.792969,0.873047,0.811523,0.831055,0.803711
0.796875,0.879883,0.8125,0.831055,0.806641
0.801758,0.879883,0.833008,0.844727,0.851562
0.801758,0.882812,0.833008,0.844727,0.852539
0.801758,0.87793,0.834961,0.844727,0.849609
0.801758,0.87793,0.834961,0.844727,0.856445
0.8125,0.882812,0.854492,0.883789,0.891602
0.808594,0.883789,0.847656,0.878906,0.886719
0.824219,0.885742,0.860352,0.876953,0.887695
0.825195,0.885742,0.865234,0.876953,0.887695
0.81543,0.883789,0.863281,0.863281,0.884766
0.837891,0.892578,0.865234,0.875,0.888672
0.836914,0.889648,0.857422,0.874023,0.892578
0.864258,0.890625,0.864258,0.874023,0.890625
0.862305,0.916992,0.865234,0.874023,0.889648
0.839844,0.894531,0.873047,0.873047,0.892578
0.837891,0.90625,0.875,0.871094,0.886719
0.818359,0.880859,0.863281,0.861328,0.884766
0.817383,0.893555,0.863281,0.863281,0.883789
0.845703,0.888672,0.863281,0.863281,0.882812
0.845703,0.894531,0.852539,0.859375,0.888672
0.899414,0.897461,0.858398,0.866211,0.897461
0.886719,0.900391,0.862305,0.866211,0.894531
0.905273,0.914062,0.869141,0.891602,0.896484
0.901367,0.912109,0.858398,0.900391,0.895508
0.933594,0.915039,0.875977,0.897461,0.896484
0.935547,0.90918,0.869141,0.893555,0.887695
0.93457,0.894531,0.864258,0.860352,0.867188
0.929688,0.897461,0.863281,0.858398,0.864258
0.936523,0.857422,0.864258,0.858398,0.866211
0.931641,0.852539,0.905273,0.856445,0.87207
0.96582,0.851562,0.864258,0.857422,0.87207
0.948242,0.895508,0.921875,0.911133,0.897461
0.944336,0.891602,0.919922,0.907227,0.895508
0.988281,0.904297,0.918945,0.916992,0.910156
0.930664,0.904297,0.905273,0.916992,0.910156
0.963867,0.902344,0.919922,0.920898,0.916016
0.970703,0.904297,0.927734,0.926758,0.929688
0.943359,0.902344,0.93457,0.925781,0.927734
0.96582,0.905273,0.928711,0.927734,0.926758
0.93457,0.910156,0.919922,0.925781,0.926758
0.939453,0.910156,0.923828,0.920898,0.938477
0.957031,0.908203,0.921875,0.930664,0.948242
0.938477,0.920898,0.924805,0.929688,0.953125
0.915039,0.922852,0.926758,0.924805,0.945312
0.922852,0.916992,0.927734,0.920898,0.938477
0.925781,0.921875,0.927734,0.929688,0.951172
0.919922,0.912109,0.925781,0.927734,0.952148
0.90625,0.910156,0.928711,0.93457,0.946289
0.941406,0.939453,0.944336,0.958984,0.959961
0.884766,0.943359,0.925781,0.966797,0.942383
0.895508,0.952148,0.942383,0.966797,0.947266
0.900391,0.94043,0.933594,0.958984,0.944336
0.907227,0.954102,0.944336,0.960938,0.936523
0.912109,0.953125,0.94043,0.953125,0.930664
0.916016,0.926758,0.941406,0.943359,0.928711
0.916992,0.924805,0.950195,0.941406,0.928711
0.916016,0.917969,0.957031,0.944336,0.927734
0.910156,0.901367,0.950195,0.942383,0.921875
0.90918,0.892578,0.930664,0.94043,0.912109
0.929688,0.891602,0.930664,0.925781,0.900391
0.925781,0.889648,0.923828,0.923828,0.90332
0.912109,0.874023,0.916016,0.922852,0.90332
0.90918,0.879883,0.925781,0.915039,0.901367
0.908203,0.875,0.925781,0.911133,0.900391
0.90918,0.886719,0.929688,0.912109,0.902344
0.905273,0.875,0.925781,0.907227,0.893555
0.875977,0.883014,0.880345,0.876055,0.876305
